source,target,value
San Diego,Quercus,1392
San Diego,Fraxinus,3151
San Diego,Platanus,9237
San Diego,Gleditsia,0
San Diego,Lagerstroemia,2207
San Diego,Prunus,3149
San Diego,Pyrus,4196
San Diego,Tilia,0
San Diego,Ulmus,1797
San Diego,Pinus,13564
San Diego,Liquidambar,10323
San Diego,Magnolia,3463
San Diego,Washingtonia,18168
San Diego,Celtis,0
San Diego,Malus,0
San Diego,Zelkova,0
San Diego,Eucalyptus,13510
San Diego,Ginkgo,113
San Diego,Ficus,5164
California,San Francisco,175272
San Francisco,Acer,2101
San Francisco,Quercus,1161
San Francisco,Fraxinus,1447
San Francisco,Platanus,12002
San Francisco,Gleditsia,117
San Francisco,Lagerstroemia,104
San Francisco,Prunus,15128
San Francisco,Pyrus,6040
San Francisco,Tilia,150
San Francisco,Ulmus,3453
San Francisco,Pinus,3300
San Francisco,Liquidambar,1684
San Francisco,Magnolia,8277
San Francisco,Washingtonia,1061
San Francisco,Celtis,275
San Francisco,Malus,289
San Francisco,Zelkova,54
San Francisco,Eucalyptus,3271
San Francisco,Ginkgo,3349
San Francisco,Ficus,9889
California,Stockton,97707
Stockton,Acer,2518
Stockton,Quercus,6177
Stockton,Fraxinus,10587
Stockton,Platanus,7639
Stockton,Gleditsia,324
Stockton,Lagerstroemia,7368
Stockton,Prunus,2409
Stockton,Pyrus,6334
Stockton,Tilia,899
Stockton,Ulmus,812
Stockton,Pinus,1306
Stockton,Liquidambar,4371
Stockton,Magnolia,3936
Stockton,Washingtonia,1059
Stockton,Celtis,7732
Stockton,Malus,207
Stockton,Zelkova,3379
Stockton,Eucalyptus,237
Stockton,Ginkgo,786
Stockton,Ficus,23
California,Sacramento,87191
Sacramento,Acer,4086
Sacramento,Quercus,10489
Sacramento,Fraxinus,3143
Sacramento,Platanus,14111
Sacramento,Gleditsia,0
Sacramento,Lagerstroemia,4146
Sacramento,Prunus,2177
Sacramento,Pyrus,4631
Sacramento,Tilia,1021
Sacramento,Ulmus,4047
Sacramento,Pinus,1715
Sacramento,Liquidambar,1949
Sacramento,Magnolia,1341
Sacramento,Washingtonia,2467
Sacramento,Celtis,2167
Sacramento,Malus,422
Sacramento,Zelkova,3861
Sacramento,Eucalyptus,585
Sacramento,Ginkgo,1175
Sacramento,Ficus,46
Colorado,Denver,284354
Denver,Acer,41254
Denver,Quercus,22505
Denver,Fraxinus,37800
Denver,Platanus,2049
Denver,Gleditsia,24178
Denver,Lagerstroemia,0
Denver,Prunus,6833
Denver,Pyrus,7410
Denver,Tilia,18650
Denver,Ulmus,19142
Denver,Pinus,20316
Denver,Liquidambar,84
Denver,Magnolia,190
Denver,Washingtonia,0
Denver,Celtis,9477
Denver,Malus,12264
Denver,Zelkova,525
Denver,Eucalyptus,0
Denver,Ginkgo,765
Denver,Ficus,0
Colorado,Aurora CO,57360
Aurora CO,Acer,9517
Aurora CO,Quercus,2468
Aurora CO,Fraxinus,6363
Aurora CO,Platanus,9
Aurora CO,Gleditsia,10428
Aurora CO,Lagerstroemia,0
Aurora CO,Prunus,318
Aurora CO,Pyrus,1537
Aurora CO,Tilia,8098
Aurora CO,Ulmus,2405
Aurora CO,Pinus,3282
Aurora CO,Liquidambar,0
Aurora CO,Magnolia,6
Aurora CO,Washingtonia,0
Aurora CO,Celtis,2493
Aurora CO,Malus,1536
Aurora CO,Zelkova,3
Aurora CO,Eucalyptus,0
Aurora CO,Ginkgo,9
Aurora CO,Ficus,0
Oregon,Portland,216751
Portland,Acer,57813
Portland,Quercus,7281
Portland,Fraxinus,9293
Portland,Platanus,1300
Portland,Gleditsia,1412
Portland,Lagerstroemia,852
Portland,Prunus,25816
Portland,Pyrus,11700
Portland,Tilia,5490
Portland,Ulmus,3356
Portland,Pinus,3471
Portland,Liquidambar,3703
Portland,Magnolia,3507
Portland,Washingtonia,0
Portland,Celtis,334
Portland,Malus,8694
Portland,Zelkova,1911
Portland,Eucalyptus,92
Portland,Ginkgo,2023
Portland,Ficus,465
Texas,Houston,213387
Houston,Acer,1733
Houston,Quercus,66689
Houston,Fraxinus,6030
Houston,Platanus,2864
Houston,Gleditsia,69
Houston,Lagerstroemia,44356
Houston,Prunus,2315
Houston,Pyrus,2835
Houston,Tilia,2
Houston,Ulmus,9063
Houston,Pinus,10038
Houston,Liquidambar,1352
Houston,Magnolia,4598
Houston,Washingtonia,5476
Houston,Celtis,13025
Houston,Malus,123
Houston,Zelkova,0
Houston,Eucalyptus,12
Houston,Ginkgo,19
Houston,Ficus,117
Texas,Plano,28290
Plano,Acer,105
Plano,Quercus,5182
Plano,Fraxinus,1208
Plano,Platanus,145
Plano,Gleditsia,70
Plano,Lagerstroemia,2779
Plano,Prunus,86
Plano,Pyrus,815
Plano,Tilia,0
Plano,Ulmus,4367
Plano,Pinus,299
Plano,Liquidambar,143
Plano,Magnolia,132
Plano,Washingtonia,0
Plano,Celtis,3279
Plano,Malus,5
Plano,Zelkova,0
Plano,Eucalyptus,0
Plano,Ginkgo,9
Plano,Ficus,0
Florida,Orlando,68211
Orlando,Acer,1821
Orlando,Quercus,29619
Orlando,Fraxinus,11
Orlando,Platanus,284
Orlando,Gleditsia,1
Orlando,Lagerstroemia,14988
Orlando,Prunus,708
Orlando,Pyrus,115
Orlando,Tilia,0
Orlando,Ulmus,2674
Orlando,Pinus,1184
Orlando,Liquidambar,374
Orlando,Magnolia,1964
Orlando,Washingtonia,1388
Orlando,Celtis,8
Orlando,Malus,2
Orlando,Zelkova,0
Orlando,Eucalyptus,11
Orlando,Ginkgo,1
Orlando,Ficus,117
Florida,Cape Coral,34021
Cape Coral,Acer,138
Cape Coral,Quercus,7061
Cape Coral,Fraxinus,0
Cape Coral,Platanus,7
Cape Coral,Gleditsia,0
Cape Coral,Lagerstroemia,503
Cape Coral,Prunus,1
Cape Coral,Pyrus,0
Cape Coral,Tilia,0
Cape Coral,Ulmus,59
Cape Coral,Pinus,3298
Cape Coral,Liquidambar,39
Cape Coral,Magnolia,123
Cape Coral,Washingtonia,0
Cape Coral,Celtis,0
Cape Coral,Malus,0
Cape Coral,Zelkova,0
Cape Coral,Eucalyptus,210
Cape Coral,Ginkgo,0
Cape Coral,Ficus,188
Maryland,Baltimore,121290
Baltimore,Acer,26076
Baltimore,Quercus,15716
Baltimore,Fraxinus,3482
Baltimore,Platanus,6787
Baltimore,Gleditsia,3295
Baltimore,Lagerstroemia,1590
Baltimore,Prunus,6739
Baltimore,Pyrus,4792
Baltimore,Tilia,8084
Baltimore,Ulmus,6250
Baltimore,Pinus,1823
Baltimore,Liquidambar,2517
Baltimore,Magnolia,671
Baltimore,Washingtonia,0
Baltimore,Celtis,1040
Baltimore,Malus,917
Baltimore,Zelkova,6767
Baltimore,Eucalyptus,0
Baltimore,Ginkgo,1628
Baltimore,Ficus,30
