scientific_name,common_name,city,state,count,mean_h
Prunus cerasifera,Leaf plum purple,New York,New York,6879,
Ulmus parvifolia,Chinese elm,Los Angeles,California,6839,
Schinus terebinthifolius,Brazilian pepper,Los Angeles,California,6789,
Tristaniopsis laurina,Swamp myrtle,San Francisco,California,6781,
Malus,Crabapple,Portland,Oregon,6779,
Prunus cerasifera,Cherry plum,San Francisco,California,6720,
Zelkova serrata,Japanese zelkova,Baltimore,Maryland,6706,82.925
Pyrus calleryana,Callery pear,Columbus,Ohio,6699,
Sabal palmetto,Cabbage palm,Cape Coral,Florida,6632,
Ficus benjamina,Weeping fig,Los Angeles,California,6625,
Jacaranda mimosifolia,Jacaranda,Los Angeles,California,6605,
Quercus bicolor,Swamp white oak,New York,New York,6598,
Ligustrum lucidum,Glossy privet,Los Angeles,California,6590,
Quercus palustris,Pin oak,St. Louis,Missouri,6498,
Acer saccharum,Sugar maple,Columbus,Ohio,6471,
Gleditsia triacanthos,Honey locust,Columbus,Ohio,6421,
Betula,Birch,Portland,Oregon,6338,
Magnolia grandiflora,Southern magnolia,San Francisco,California,6219,
Podocarpus gracilior,African fern pine,San Diego,California,6161,
Carya illinoinensis,Pecan,Houston,Texas,6128,
Tilia,Linden,Aurora,Colorado,6107,
Platanus acerifolia,London planetree,Baltimore,Maryland,6031,109.691
Gleditsia triacanthos,Honeylocust,Rochester,New York,6021,
Malus,Crabapple,Columbus,Ohio,5988,
Tilia cordata,Littleleaf linden,Baltimore,Maryland,5932,99.708
Acer platanoides,Crimson king maple,New York,New York,5923,
Fraxinus americana,White ash,Columbus,Ohio,5893,
Pinus brutia,Afghan pine,Las Vegas,Nevada,5888,
Quercus rubra,Red oak,Washington DC,District of Columbia,5849,
Callistemon lanceolatus,Scarlet bottlebrush,Los Angeles,California,5792,
Prunus,Cherry/plum,Baltimore,Maryland,5782,49.097
Ulmus americana,American elm,Washington DC,District of Columbia,5779,
Gleditsia triacanthos,Thornless honeylocust,Grand Rapids,Michigan,5758,
Quercus virginiana,Live oak,Cape Coral,Florida,5727,
Platanus acerifolia,Sycamore,Rancho Cucamonga,California,5692,
Ficus microcarpa,Indian laurel fig tree,San Francisco,California,5691,
Morus alba,White mulberry,Los Angeles,California,5606,
Arbutus,Hybrid strawberry tree,San Francisco,California,5568,
Ulmus pumila,Siberian elm,Los Angeles,California,5536,
Eucalyptus globulus,Eucalyptus,Rancho Cucamonga,California,5529,
Cupressus sempervirens,Italian cypress,San Diego,California,5501,
Tilia,Linden,Portland,Oregon,5490,
Washingtonia robusta,Palm,Houston,Texas,5466,
Fraxinus pennsylvanica,Green ash,Aurora,Colorado,5465,
Zelkova serrata,Japanese zelkova,Washington DC,District of Columbia,5429,
Crataegus,Hawthorn,Portland,Oregon,5416,
Taxodium distichum,Bald cypress,New Orleans,Louisiana,5409,
Quercus virginiana,Live oak,Tampa,Florida,5379,104.225
Acer saccharum,Sugar maple,Washington DC,District of Columbia,5361,
Ulmus parvifolia,Chinese elm,New York,New York,5345,
Acer rubrum,Red maple,Seattle,Washington,5333,
Tilia americana,American linden,Denver,Colorado,5328,
Pyrus calleryana,Ornamental pear,Stockton,California,5296,
Acer platanoides,Maplnorway,Sioux Falls,South Dakota,5169,114.392
Brachychiton populneus,Bottle tree,Los Angeles,California,5159,
Quercus macrocarpa,Bur oak,Denver,Colorado,5102,
Magnolia grandiflora,Magnolia,Rancho Cucamonga,California,4989,
Tilia,Linden,Madison,Wisconsin,4969,
Pyrus calleryana,Pear,Rancho Cucamonga,California,4935,
Platanus acerifolia,London plane tree,Washington DC,District of Columbia,4926,
Prunus virginiana,Chokecherry,New York,New York,4888,
Malus,Apple/crabapple,Seattle,Washington,4854,
Quercus rubra,Northern red oak,Denver,Colorado,4846,
Quercus bicolor,Swamp white oak,Denver,Colorado,4830,
Acer freemanii,Freeman maple,Columbus,Ohio,4802,
Schinus terebinthifolia,Brazilian pepper tree,San Diego,California,4755,
Pyrus calleryana,Callery pear,Baltimore,Maryland,4746,94.429
Acer saccharinum,Silver maple,Buffalo,New York,4725,
Acer freemanii,Maplfreeman,Sioux Falls,South Dakota,4708,94.438
Syagrus romanzoffianum,Queen palm,Huntington Beach,California,4681,46.381
Acer palmatum,Japanese maple,Portland,Oregon,4665,
Acer platanoides,Norway maple,Seattle,Washington,4649,
Lagerstroemia indica,Crape myrtle,Ontario,California,4630,
Acer platanoides,Norway maple,Aurora,Colorado,4614,
Pistacia chinensis,Chinese pistache,Sacramento,California,4580,
Pinus canariensis,Canary island pine,Irvine,California,4578,
Magnolia grandiflora,Southern magnolia,Anaheim,California,4568,
Syringa reticulata,Japanese tree lilac,New York,New York,4568,
Fraxinus americana,White ash,St. Louis,Missouri,4557,
Acer rubrum,Red maple,Grand Rapids,Michigan,4523,
Callistemon citrinus,Bottlebrush,Los Angeles,California,4462,
Fraxinus velutina,Modesto ash,Stockton,California,4435,
Prunus cerasifera,Purpleleaf plum variety,Seattle,Washington,4432,
Platanus racemosa,California sycamore,Los Angeles,California,4419,
Liquidambar styraciflua,American sweetgum,Ontario,California,4391,
Acer palmatum,(smooth) japanese maple,Seattle,Washington,4390,
Washingtonia robusta,Mexican fan palm,Anaheim,California,4379,
Lagerstroemia indica,Crape myrtle,Washington DC,District of Columbia,4322,
Acer saccharinum,Maplsilver,Sioux Falls,South Dakota,4311,179.952
Magnolia grandiflora,Southern magnolia,Houston,Texas,4289,
Pyrus calleryana,Callery pear,Sacramento,California,4285,
Ulmus americana,American elm,Denver,Colorado,4275,
Acer saccharum,Sugar maple,St. Louis,Missouri,4172,
Lagerstroemia indica,Common crapemyrtle,Sacramento,California,4146,
Liquidambar styraciflua,American sweetgum,Stockton,California,4110,
Styrax,Snowbell,Portland,Oregon,4106,
Pinus halepensis,Aleppo pine,Los Angeles,California,4080,
Pyrus calleryana,Bradford pear,Los Angeles,California,4052,
Ulmus parvifolia,Chinese elm,Sacramento,California,4047,
Prunus serrulata,Kwanzan flowering cherry,San Francisco,California,4046,
Washingtonia robusta,Mexican fan palm,Huntington Beach,California,4037,123.115
Melaleuca,Melaleuca,San Diego,California,3989,
Acacia melanoxylon,Blackwood acacia,San Francisco,California,3971,
Acer saccharum,Sugar maple,Grand Rapids,Michigan,3954,
Eucalyptus globulus,Blue gum eucalyptus,Irvine,California,3948,
Podocarpus macrophyllus,Yew pine,Los Angeles,California,3908,
Cinnamomum camphora,Camphor tree,Ontario,California,3900,
Tilia cordata,Littleleaf linden,Madison,Wisconsin,3894,
Maytenus boaria,Mayten,San Francisco,California,3884,
Zelkova serrata,Japanese zelkova,Sacramento,California,3861,
Acer platanoides,Norway maple,Columbus,Ohio,3846,
Acer griseum,Paperbark maple,Portland,Oregon,3842,
Eucalyptus maculata,Spotted gum,Irvine,California,3830,
Prunus caroliniana,Carolina laurel cherry,Los Angeles,California,3815,
Lagerstroemia indica,Crape myrtle,Huntington Beach,California,3813,16.728
Tristaniopsis Brongn.,Brisbane box,Irvine,California,3810,
Prunus,Cherry/plum/laurel,Seattle,Washington,3805,
Cercis canadensis,Eastern redbud,New York,New York,3801,
Fraxinus velutina,Arizona ash,Houston,Texas,3784,
Magnolia grandiflora,Southern magnolia,Stockton,California,3762,
Ulmus parvifolia,Chinese elm,Washington DC,District of Columbia,3735,
Koelreuteria paniculata,Golden raintree,New York,New York,3719,
Liquidambar styraciflua,Liquidambar,Rancho Cucamonga,California,3719,
Acer platanoides,Norway maple,Baltimore,Maryland,3716,99.563
Acer platanoides,Norway maple,Pittsburgh,Pennsylvania,3715,89.688
Juglans californica,So. california black walnut,Los Angeles,California,3706,
Liquidambar,Sweetgum,Portland,Oregon,3703,
Carpinus,Hornbeam,Portland,Oregon,3702,
Pinus,Pine,Rancho Cucamonga,California,3701,
Quercus lobata,California white oak,Sacramento,California,3693,
Ulmus crassifolia,Cedar elm,Plano,Texas,3641,
Olea europaea,Olive tree,San Francisco,California,3639,
Brachychiton populneus,Bottle tree,Rancho Cucamonga,California,3626,
Tilia cordata,Littleleaf linden,St. Louis,Missouri,3624,
Tilia cordata,Littleleaf linden,Columbus,Ohio,3622,
Quercus,Oak species,Los Angeles,California,3612,
Nerium oleander,Oleander,Los Angeles,California,3582,
Ulmus americana,American elm,Houston,Texas,3582,
Schinus molle,California pepper,Los Angeles,California,3561,
Crataegus laevigata,English midland hawthorn,Seattle,Washington,3559,
Washingtonia robusta,Palm,San Diego,California,3543,
Gymnocladus dioicus,Kentucky coffeetree,Denver,Colorado,3540,
Ilex attenuata,Hybrid holly species,New Orleans,Louisiana,3529,
Corymbia ficifolia,Red flowering gum,San Francisco,California,3528,
Malus,Crab apple,New York,New York,3527,
Prunus cerasifera,Thundercloud purpleleaf plum,Seattle,Washington,3502,
Populus tremuloides,Quaking aspen,Denver,Colorado,3483,
Pinus,Pine,Portland,Oregon,3471,
Cedrus deodara,Deodar cedar,Los Angeles,California,3468,
Pyrus calleryana,Ornamental pear,Los Angeles,California,3448,
Acer saccharinum,Silver maple,Aurora,Colorado,3433,
Acer rubrum,Red maple,Pittsburgh,Pennsylvania,3422,80.171
Quercus palustris,Pin oak,Overland Park,Kansas,3419,
Gleditsia triacanthos,Honeylocust,Madison,Wisconsin,3390,
Zelkova serrata,Leaf zelkova saw,Stockton,California,3379,
Gymnocladus dioicus,Kentucky coffeetree,New York,New York,3364,
Acer platanoides,Norway maple,Washington DC,District of Columbia,3361,
Ulmus,Elm,Portland,Oregon,3356,
Quercus bicolor,Swamp white oak,Washington DC,District of Columbia,3341,
Pinus brutia,Turkish pine,Irvine,California,3339,
Prunus L.,Kwanzan flowering cherry,Seattle,Washington,3338,
Liquidambar styraciflua,Sweetgum,Seattle,Washington,3337,
Lagerstroemia indica,Crape myrtle,Anaheim,California,3320,
Pinus canariensis,Canary island pine,Ontario,California,3307,
Pinus elliottii,Slash pine,Cape Coral,Florida,3298,
Magnolia grandiflora,Magnolia st marys,San Diego,California,3294,
Celtis occidentalis,Common hackberry,Plano,Texas,3279,
Callistemon citrinus,Lemon bottlebrush,San Francisco,California,3266,
Quercus geminata,Sand live oak,Tampa,Florida,3248,122.115
Taxodium distichum,Bald cypress,Houston,Texas,3246,
Cercis canadensis,Eastern redbud,Washington DC,District of Columbia,3245,
Platanus acerifolia,London planetree,Pittsburgh,Pennsylvania,3238,122.578
Koelreuteria bipinnata,Chinese flame,San Diego,California,3233,
Eucalyptus globulus,Blue gum,Los Angeles,California,3213,
Pistacia chinensis,Chinese pistache,Rancho Cucamonga,California,3212,
Gleditsia triacanthos,Thornless honeylocust,Baltimore,Maryland,3208,66.388
Quercus phellos,Willow oak,New York,New York,3184,
Acer saccharinum,Silver maple,Columbus,Ohio,3156,
Betula pendula,White birch,Los Angeles,California,3153,
Fraxinus,Ash,San Diego,California,3151,
Pseudotsuga menziesii,Fir douglas,Portland,Oregon,3141,
Platanus acerifolia,London planetree,Columbus,Ohio,3124,
Ginkgo biloba,Maidenhair tree,San Francisco,California,3118,
Acer saccharinum,Silver maple,St. Louis,Missouri,3115,
Lagerstroemia,Common crapemyrtle,Durham,North Carolina,3103,21.721
Pinus elliottii,Slash pine,New Orleans,Louisiana,3098,
Tilia cordata,Lindenlittleleaf,Sioux Falls,South Dakota,3085,124.013
Acer rubrum,Red maple,Denver,Colorado,3084,
Platanus acerifolia,London plane,Ontario,California,3067,
Tilia cordata,Little leaf linden,Rochester,New York,3066,
Washingtonia filifera,California fan palm,San Diego,California,3039,
Tilia cordata,Littleleaf linden,Grand Rapids,Michigan,3033,
Juniperus chinensis,Juniper,San Diego,California,3025,
Magnolia grandiflora,Southern magnolia,New Orleans,Louisiana,3022,
Metasequoia glyptostroboides,Dawn redwood,New York,New York,3020,
Archontophoenix cunninghamiana,King palm,San Diego,California,3020,
Juniperus scopulorum,Rocky mountain juniper,Denver,Colorado,3010,
Quercus phellos,Willow oak,Baltimore,Maryland,2997,85.716
Crataegus,Hawthorn,New York,New York,2988,
Pyrus calleryana,Ornamental pear,San Francisco,California,2978,
Platanus occidentalis,American sycamore,Grand Rapids,Michigan,2977,
Fraxinus americana,White ash,Madison,Wisconsin,2977,
Olea europaea,Olive,Los Angeles,California,2976,
Pinus halepensis,Aleppo pine,Irvine,California,2973,
Pyrus calleryana,Callery pear,Pittsburgh,Pennsylvania,2969,78.069
Catalpa speciosa,Western catalpa,Denver,Colorado,2962,
Sequoia sempervirens,Coast redwood,Stockton,California,2936,
Tilia americana,American basswood,Madison,Wisconsin,2931,
Liriodendron tulipifera,Tulip tree,Los Angeles,California,2924,
Sequoia sempervirens,Coast redwood,Sacramento,California,2909,
Tristania conferta,Brisbane box,Los Angeles,California,2892,
Quercus coccinea,Scarlet oak,Washington DC,District of Columbia,2891,
Platanus racemosa,California sycamore,Irvine,California,2887,
Prunus blireiana,Blireiana purpleleaf plum,Seattle,Washington,2884,
Fraxinus velutina,Arizona ash,Los Angeles,California,2863,
Sabal palmetto,Cabbage palmetto,Orlando,Florida,2855,
Lagerstroemia indica,Crapemyrtle,Tampa,Florida,2851,48.327
Quercus rubra,Northern red oak,Baltimore,Maryland,2849,112.075
Acer saccharum,Sugar maple,New York,New York,2844,
Cercis canadensis,Eastern redbud,St. Louis,Missouri,2838,
Gleditsia triacanthos,Thornless honeylocust,St. Louis,Missouri,2814,
Platanus occidentalis,American sycamore,Houston,Texas,2811,
Pyrus calleryana,Ornamental pear,Ontario,California,2793,
Quercus phellos,Willow oak,Durham,North Carolina,2777,47.572
Quercus rubra,Red oak,Columbus,Ohio,2770,
Washingtonia filifera,California fan palm,Los Angeles,California,2767,
Platanus acerifolia,London planetree,Rochester,New York,2755,
Yucca,Yucca,San Diego,California,2742,
Acer pseudoplatanus,Sycamore maple,New York,New York,2731,
Acer saccharum,Sugar maple,Baltimore,Maryland,2709,91.228
Podocarpus gracilior,African fern pine,Los Angeles,California,2696,
Prunus serrulata,Ornamental cherry,San Francisco,California,2670,
Celtis occidentalis,Hackberry,Madison,Wisconsin,2667,
Acer saccharinum,Silver maple,Baltimore,Maryland,2663,131.697
Populus sargentii,Plains cottonwood,Denver,Colorado,2657,
Ginkgo biloba,Ginkgo (male),Washington DC,District of Columbia,2656,
Nyssa sylvatica,Tupelo,Washington DC,District of Columbia,2624,
Quercus robur,English oak,Denver,Colorado,2613,
Ulmus parvifolia,Chinese elm,Orlando,Florida,2609,
